token,name,role,hex,r,g,b,hsl,oklch,cmyk_approx,note
ink,"Ink",base,#1D1A17,29,26,23,"30 12% 10%","22.0% 0.007 67.4","0/10/21/89","Warm near-black. The line colour and the dark field."
ink-raised,"Ink Raised",base,#241F1B,36,31,27,"27 14% 12%","24.4% 0.011 60.9","0/14/25/86","Panel surface on an ink field."
ink-head,"Ink Head",base,#2B2723,43,39,35,"30 10% 15%","27.6% 0.009 67.4","0/9/19/83","Header fill on an ink field."
ink-line,"Ink Line",base,#5C554C,92,85,76,"34 10% 33%","45.3% 0.017 74.2","0/8/17/64","Dashed dividers on an ink field. Never body text."
bone,"Bone",base,#F6F1E7,246,241,231,"40 45% 94%","95.9% 0.014 84.6","0/2/6/4","The paper. Default background."
bone-dim,"Bone Dim",base,#EAE4D6,234,228,214,"42 32% 88%","92.0% 0.020 87.5","0/3/9/8","Recessed paper: sunken panels, spec headers."
white,"White",base,#FFFFFF,255,255,255,"0 0% 100%","100.0% 0.000 89.9","0/0/0/0","Reserved for one hero field per site."
pink,"Riposte Pink",accent,#F0477D,240,71,125,"341 85% 61%","65.3% 0.207 5.8","0/70/48/6","Accent 1 of 3. Fills, bars, chips, large type."
orange,"Riposte Marigold",accent,#FE9A0D,254,154,13,"35 99% 52%","77.3% 0.171 64.9","0/39/95/0","Accent 2 of 3. The only accent that takes INK text."
teal,"Riposte Teal",accent,#12B795,18,183,149,"168 82% 39%","69.6% 0.131 172.8","90/0/19/28","Accent 3 of 3. The dark-field working accent."
pink-deep,"Pink Deep",accent-deep,#D81150,216,17,80,"341 85% 46%","56.6% 0.220 13.0","0/92/63/15","Use when an accent must carry body copy on bone, or be text on bone. Bone on it = 4.53:1."
orange-deep,"Marigold Deep",accent-deep,#A15E01,161,94,1,"35 99% 32%","54.6% 0.123 64.0","0/42/99/37","Bone on it = 4.52:1."
teal-deep,"Teal Deep",accent-deep,#0C7A63,12,122,99,"167 82% 26%","51.8% 0.097 173.0","90/0/19/52","Diagram linework; bone on it = 4.69:1."
teal-ink,"Teal Ink",accent-deep,#04463A,4,70,58,"169 89% 15%","35.3% 0.064 176.0","94/0/17/73","Text on teal fills in diagrams. 9.60:1 on teal."
